Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,239500,1,9500,4.13,229500,243000,227500,23310716,5537883951990,1400183726616000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,1425000,1,5000,0.35,1405000,1455000,1373000,3817625,5405243685660,1040951620125000,730492365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,945000,2,-4000,-0.42,929000,960000,901000,494442,463692177000,124700674770000,131958386,STK
009150,KR7009150004,삼성전기,KOSPI,,1262000,2,-12000,-0.94,1238000,1297000,1191000,724660,904564992000,94263444352000,74693696,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,354500,2,-13000,-3.54,365000,371500,352500,279254,100484890000,82953000000000,234000000,STK
005380,KR7005380001,현대차,KOSPI,,403000,2,-5000,-1.23,406000,411000,400500,327062,132198932500,82517379698000,204757766,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1609000,1,40000,2.55,1571000,1623000,1567000,69856,112078249500,74482140159000,46290951,STK
105560,KR7105560007,KB금융,KOSPI,,166600,2,-5100,-2.97,172600,172700,166000,1039635,174770688900,59090976484400,354687734,STK
032830,KR7032830002,삼성생명,KOSPI,,289500,1,9000,3.21,278000,291000,271500,287247,81967572695,57900000000000,200000000,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1098000,2,-54000,-4.69,1173000,1174000,1069000,158143,174113488000,56616614298000,51563401,STK
028260,KR7028260008,삼성물산,KOSPI,,344500,1,8500,2.53,332500,349500,328000,340367,116714062500,55866731654500,162167581,STK
329180,KR7329180004,HD현대중공업,KOSPI,,503000,2,-29000,-5.45,537000,542000,502000,248146,127494853500,52795496175000,104961225,STK
000270,KR7000270009,기아,KOSPI,,134300,2,-1200,-0.89,133800,136800,133800,454123,61413633950,52432465631400,390412998,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,77900,2,-2000,-2.5,79000,79100,77300,1423062,111110727450,49899713273400,640561146,STK
055550,KR7055550008,신한지주,KOSPI,,104500,2,-1900,-1.79,106600,106700,104300,858508,90452312700,49057549975500,469450239,STK
068270,KR7068270008,셀트리온,KOSPI,,210500,1,9500,4.73,200000,212000,199100,886239,184909695550,48952555113000,232553706,STK
012330,KR7012330007,현대모비스,KOSPI,,495500,2,-9500,-1.88,501000,508000,492500,157950,78570097000,44957994876500,90732583,STK
034730,KR7034730002,SK,KOSPI,,524000,1,11000,2.14,505000,528000,496000,116923,60499615250,37991416372000,72502703,STK
006400,KR7006400006,삼성SDI,KOSPI,,459500,2,-22000,-4.57,475500,481000,457500,354160,165183703500,37029051035000,80585530,STK
086790,KR7086790003,하나금융지주,KOSPI,,127700,2,-2700,-2.07,130500,130800,127700,616305,79563482450,35036761419600,274367748,STK
035420,KR7035420009,NAVER,KOSPI,,214000,1,2500,1.18,214000,215500,209500,649289,138327126000,33593203190000,156977585,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,203000,2,-5500,-2.64,206000,207000,199700,334357,67649509750,30450000000000,150000000,STK
066570,KR7066570003,LG전자,KOSPI,,181700,2,-8300,-4.37,187700,187700,181700,800188,146583334750,29596138724600,162884638,STK
000810,KR7000810002,삼성화재,KOSPI,,641000,1,11000,1.75,633000,655000,625000,86934,55828442000,28619030193000,44647473,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,398000,2,-6000,-1.49,405500,412500,398000,141672,57189906000,28167700168000,70773116,STK
