Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,345000,2,-9000,-2.54,343000,350500,342000,3459429,1195409179750,2016966119760000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,2774000,1,10000,0.36,2728000,2789000,2728000,572292,1579649949000,1977036360510000,712702365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1813000,1,33000,1.85,1860000,1861000,1800000,161736,296055168500,239240553818000,131958386,STK
009150,KR7009150004,삼성전기,KOSPI,,2245000,2,-25000,-1.1,2215000,2260000,2185000,125103,278268168000,167687347520000,74693696,STK
005380,KR7005380001,현대차,KOSPI,,589000,2,-24000,-3.92,599000,600000,586000,159935,94460385000,120602324174000,204757766,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,398500,2,-6000,-1.48,407500,407500,395000,38527,15430563500,93249000000000,234000000,STK
032830,KR7032830002,삼성생명,KOSPI,,465000,2,-32000,-6.44,486500,486500,460500,79393,37333132750,93000000000000,200000000,STK
028260,KR7028260008,삼성물산,KOSPI,,509000,1,17500,3.56,501000,531000,493500,122100,62906429500,82543298729000,162167581,STK
329180,KR7329180004,HD현대중공업,KOSPI,,651000,2,-16000,-2.4,667000,674000,646000,28888,18920646500,68329757475000,104961225,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1335000,2,-39000,-2.84,1374000,1374000,1334000,4858,6557668500,61798419585000,46290951,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,96100,2,-1800,-1.84,95600,97000,95100,324577,31138592250,61557926130600,640561146,STK
000270,KR7000270009,기아,KOSPI,,153400,2,-1500,-0.97,154500,154800,152200,103367,15890406700,59889353893200,390412998,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1153000,1,31000,2.76,1186000,1192000,1144000,28289,32973848500,59452601353000,51563401,STK
105560,KR7105560007,KB금융,KOSPI,,156800,2,-1500,-0.95,158400,158600,156600,104058,16413878100,55615036691200,354687734,STK
012330,KR7012330007,현대모비스,KOSPI,,585000,2,-27000,-4.41,599000,600000,581000,66167,38939424000,53078561055000,90732583,STK
034730,KR7034730002,SK,KOSPI,,720000,2,-4000,-0.55,725000,740000,717000,24736,17995902500,52201946160000,72502703,STK
055550,KR7055550008,신한지주,KOSPI,,99850,2,-1050,-1.04,100000,100400,99000,87929,8773146950,47394237945850,474654361,STK
006400,KR7006400006,삼성SDI,KOSPI,,557000,1,2000,0.36,564000,570000,545000,98862,55313879000,44886140210000,80585530,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,1051000,2,-27000,-2.5,1070000,1070000,1048000,19235,20346152500,37885538885000,36047135,STK
068270,KR7068270008,셀트리온,KOSPI,,167700,2,-2600,-1.53,168400,169200,166700,41093,6896997550,37167915142800,221633364,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,247000,2,-12000,-4.63,254500,255000,245500,136688,34007957750,37050000000000,150000000,STK
066570,KR7066570003,LG전자,KOSPI,,225500,1,14000,6.62,227000,229000,221000,404723,90822728500,36730485869000,162884638,STK
042660,KR7042660001,한화오션,KOSPI,,118800,2,-9600,-7.48,125100,125200,117200,430014,51903623300,36401911207200,306413394,STK
035420,KR7035420009,NAVER,KOSPI,,228000,2,-1500,-0.65,230000,231000,225500,138523,31612030250,35770388304000,156887668,STK
298040,KR7298040007,효성중공업,KOSPI,,3820000,2,-35000,-0.91,3846000,3889000,3772000,3605,13810973500,35619773360000,9324548,STK
086790,KR7086790003,하나금융지주,KOSPI,,121300,2,-2200,-1.78,122900,123000,121200,44639,5452163450,33280807832400,274367748,STK
000810,KR7000810002,삼성화재,KOSPI,,697000,2,-3000,-0.43,708000,715000,695000,7654,5395378500,31119288681000,44647473,STK
042700,KR7042700005,한미반도체,KOSPI,,304500,1,9500,3.22,293500,305500,291000,142888,42997870500,29022564900000,95312200,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,403000,2,-16000,-3.82,420000,422000,400500,14641,5979660250,28521565748000,70773116,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,352000,2,-4500,-1.26,356000,356500,349500,40048,14119348500,27893017504000,79241527,STK
011070,KR7011070000,LG이노텍,KOSPI,,1165000,1,20000,1.75,1144000,1181000,1144000,32316,37598631000,27572179655000,23667107,STK
000150,KR7000150003,두산,KOSPI,,1617000,2,-14000,-0.86,1630000,1641000,1593000,6872,11159599500,26185431195000,16193835,STK
006800,KR7006800007,미래에셋증권,KOSPI,,46200,2,-2550,-5.23,46400,47150,45850,417905,19360005000,25851989856000,559566880,STK
010130,KR7010130003,고려아연,KOSPI,,1178000,2,-14000,-1.17,1191000,1193000,1161000,1331,1560337000,24588357482000,20872969,STK
015760,KR7015760002,한국전력,KOSPI,,38150,1,250,0.66,37850,38700,37500,382568,14591763400,24490929537550,641964077,STK
010140,KR7010140002,삼성중공업,KOSPI,,26650,2,-900,-3.27,27200,27550,26550,454707,12244080050,23452000000000,880000000,STK
051910,KR7051910008,LG화학,KOSPI,,325000,2,-13000,-3.85,339000,339000,324000,22636,7448459000,22942511475000,70592343,STK
064350,KR7064350002,현대로템,KOSPI,,209500,1,2500,1.21,211500,215000,208000,65143,13737944000,22865310383500,109142293,STK
316140,KR7316140003,우리금융지주,KOSPI,,30525,2,-525,-1.69,30850,30900,30400,111897,3429732050,22407679668000,734076320,STK
017670,KR7017670001,SK텔레콤,KOSPI,,93900,2,-1000,-1.05,95100,95200,93100,99378,9331758450,20168785976700,214790053,STK
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,855000,1,3000,0.35,874000,884000,844000,24427,21005290500,18810000000000,22000000,STK
033780,KR7033780008,KT&G,KOSPI,,178900,2,-1100,-0.61,180700,180700,177200,8571,1530695500,18571690578400,103810456,STK
011200,KR7011200003,HMM,KOSPI,,19650,2,-500,-2.48,19660,19900,19610,146972,2894527065,18534626110500,943237970,STK
267250,KR7267250009,HD현대,KOSPI,,229500,2,-1000,-0.43,231000,233000,228500,13906,3209343000,18128913007500,78993085,STK
307950,KR7307950006,현대오토에버,KOSPI,,650000,2,-12000,-1.81,663000,673000,647000,15208,10025161000,17825588300000,27423982,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,196600,2,-2900,-1.45,199100,201000,195000,25025,4954071100,17486826852000,88946220,STK
272210,KR7272210006,한화시스템,KOSPI,,91900,1,800,0.88,91200,92600,90300,75693,6903556600,17361691849100,188919389,STK
096770,KR7096770003,SK이노베이션,KOSPI,,100900,2,-1500,-1.46,102500,103100,100600,29749,3017950900,17057426309200,169052788,STK
003550,KR7003550001,LG,KOSPI,,111400,1,2500,2.3,112500,112900,108000,77474,8511064800,16842789245600,151192004,STK
024110,KR7024110009,기업은행,KOSPI,,21075,2,-375,-1.75,21350,21400,21050,53973,1144533325,16805750189175,797425869,STK
035720,KR7035720002,카카오,KOSPI,,37850,1,100,0.26,38250,38500,37500,176630,6695084325,16757907106900,442745234,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,214000,1,2000,0.94,220000,220000,209500,53991,11563591750,16558849200000,77377800,STK
086280,KR7086280005,현대글로비스,KOSPI,,213500,2,-9000,-4.04,218000,219000,211500,26872,5762344250,16012500000000,75000000,STK
000720,KR7000720003,현대건설,KOSPI,,130300,1,1700,1.32,126100,130700,124900,123317,15764425750,14509656179500,111355765,STK
047810,KR7047810007,한국항공우주,KOSPI,,146800,1,300,0.2,146000,148700,146000,31798,4680307400,14309345707600,97475107,STK
278470,KR7278470000,에이피알,KOSPI,,381500,2,-4000,-1.04,389500,389500,380000,12887,4953425500,14282656132500,37438155,STK
030200,KR7030200000,KT,KOSPI,,53650,1,350,0.66,53600,54000,53000,20094,1074464500,13520963400250,252021685,STK
071050,KR7071050009,한국금융지주,KOSPI,,226000,2,-5000,-2.16,229000,229000,222000,11892,2691568000,12594074192000,55725992,STK
006260,KR7006260004,LS,KOSPI,,398000,2,-12000,-2.93,403000,409500,396000,9985,3999347750,12417600000000,31200000,STK
010950,KR7010950004,S-Oil,KOSPI,,107100,1,1800,1.71,106300,107900,105500,24480,2610585000,12057617023200,112582792,STK
005940,KR7005940002,NH투자증권,KOSPI,,31200,2,-800,-2.5,31600,31600,31000,61602,1920370300,11117944312800,356344369,STK
259960,KR7259960003,크래프톤,KOSPI,,238000,2,-3500,-1.45,244500,245500,236500,13212,3161251250,10980604334000,46136993,STK
323410,KR7323410001,카카오뱅크,KOSPI,,22300,1,150,0.68,22800,22800,22100,96550,2160557425,10639785745100,477120437,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,423000,2,-6000,-1.4,429000,429000,419000,1604,677823250,10525529727000,24883049,STK
016360,KR7016360000,삼성증권,KOSPI,,115500,2,-3400,-2.86,116900,117600,114500,40689,4711829500,10314150000000,89300000,STK
028050,KR7028050003,삼성E&A,KOSPI,,50400,1,1750,3.6,47900,51000,47500,401062,19939813000,9878400000000,196000000,STK
003490,KR7003490000,대한항공,KOSPI,,26800,2,-1150,-4.11,27300,27400,26700,364299,9817650450,9868313714800,368220661,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,219500,2,-5500,-2.44,223500,223500,216500,5530,1213709500,9840944470000,44833460,STK
352820,KR7352820005,하이브,KOSPI,,222000,2,-1500,-0.67,221500,222000,217000,23392,5133873250,9568699278000,43102249,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,54300,2,-700,-1.27,55500,55500,54200,25804,1410314200,9552607388400,175922788,STK
005830,KR7005830005,DB손해보험,KOSPI,,142700,2,-2200,-1.52,144800,144800,142100,12981,1858180400,9346899802300,65500349,STK
064400,KR7064400005,LG씨엔에스,KOSPI,,92800,1,7000,8.16,96400,96400,90800,497844,46181057750,8991015974400,96885948,STK
039490,KR7039490008,키움증권,KOSPI,,337000,2,-9000,-2.6,344000,344000,336500,5529,1876082500,8838942492000,26228316,STK
007660,KR7007660004,이수페타시스,KOSPI,,119700,1,4600,4.0,113000,120500,112900,138347,16349434400,8787083514300,73409219,STK
047040,KR7047040001,대우건설,KOSPI,,21350,1,100,0.47,20200,21550,20200,1333271,28090462900,8772878071300,410907638,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,65700,2,-1000,-1.5,66700,67100,65000,18859,1238156650,8138592033300,123875069,STK
003230,KR7003230000,삼양식품,KOSPI,,1078000,2,-25000,-2.27,1090000,1095000,1067000,2748,2971003000,8120590170000,7533015,STK
000880,KR7000880005,한화,KOSPI,,113700,2,-1500,-1.3,115200,115900,113600,14173,1624393400,8016750390300,70507919,STK
353200,KR7353200009,대덕전자,KOSPI,,161900,1,5600,3.58,154700,162800,151800,104152,16601793150,8000600157500,49416925,STK
180640,KR7180640005,한진칼,KOSPI,,116500,2,-4600,-3.8,120000,120000,113800,4500,531053500,7777805503500,66762279,STK
001440,KR7001440007,대한전선,KOSPI,,37300,2,-950,-2.48,37900,37950,36950,334804,12505833700,7310523830800,195992596,STK
062040,KR7062040001,산일전기,KOSPI,,229500,2,-6000,-2.55,228000,231500,225000,17125,3910064500,7026337575000,30615850,STK
004170,KR7004170007,신세계,KOSPI,,732000,1,21000,2.95,699000,749000,694000,10398,7621994000,6913872492000,9445181,STK
000990,KR7000990002,DB하이텍,KOSPI,,156400,1,300,0.19,152800,157900,152600,29982,4675730700,6804117563200,43504588,STK
326030,KR7326030004,SK바이오팜,KOSPI,,86200,2,-800,-0.92,86200,86600,84700,6747,578950800,6750602150000,78313250,STK
034220,KR7034220004,LG디스플레이,KOSPI,,13330,2,-240,-1.77,13680,13710,13080,536374,7164111200,6665000000000,500000000,STK
009830,KR7009830001,한화솔루션,KOSPI,,38550,1,500,1.31,38450,39000,37950,148930,5712457600,6626457262800,171892536,STK
454910,KR7454910001,두산로보틱스,KOSPI,,100300,2,-1500,-1.47,100500,101500,99800,66492,6675156500,6501443994000,64819980,STK
078930,KR7078930005,GS,KOSPI,,69350,2,-650,-0.93,69400,69600,68800,12073,835254850,6442302578250,92895495,STK
267270,KR7267270007,HD건설기계,KOSPI,,134400,2,-2300,-1.68,135000,136100,133000,15181,2040211150,6440702956800,47921897,STK
032640,KR7032640005,LG유플러스,KOSPI,,14790,1,80,0.54,14800,15010,14690,67165,995604385,6277286156280,424427732,STK
021240,KR7021240007,코웨이,KOSPI,,87800,1,400,0.46,88500,89200,87100,10005,880860700,6213380002800,70767426,STK
241560,KR7241560002,두산밥캣,KOSPI,,64700,2,-600,-0.92,64600,65000,63850,21343,1373507300,6201887405500,95856065,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,103100,2,-1500,-1.43,104000,104300,102900,10573,1094336000,6030603452900,58492759,STK
000100,KR7000100008,유한양행,KOSPI,,75000,2,-1100,-1.45,75600,75900,74100,25465,1911706750,5973570075000,79647601,STK
377300,KR7377300009,카카오페이,KOSPI,,43600,2,-400,-0.91,43600,44100,43200,14933,651482025,5897437370000,135262325,STK
036570,KR7036570000,NC,KOSPI,,272500,2,-4500,-1.62,277500,277500,265500,16460,4477978000,5870745995000,21544022,STK
011790,KR7011790003,SKC,KOSPI,,117400,2,-2200,-1.84,116600,119400,116200,51920,6092750450,5822840185200,49598298,STK
029780,KR7029780004,삼성카드,KOSPI,,48100,2,-1450,-2.93,49550,49550,47900,8210,397926050,5572812657100,115858891,STK
000500,KR7000500009,가온전선,KOSPI,,334500,2,-3000,-0.89,353500,360000,321000,29625,10212438250,5533671967500,16543115,STK
138930,KR7138930003,BNK금융지주,KOSPI,,17240,2,-500,-2.82,17390,17480,17230,27766,481079185,5350038048920,310327033,STK
271560,KR7271560005,오리온,KOSPI,,132900,2,-1100,-0.82,134100,134200,132600,2018,268890650,5254351942800,39536132,STK
128940,KR7128940004,한미약품,KOSPI,,409500,2,-1500,-0.36,406000,411500,400500,7326,2984272000,5246100814500,12810991,STK
066970,KR7066970005,엘앤에프,KOSPI,,129000,1,400,0.31,129000,130600,126600,37334,4807716550,5233264647000,40567943,STK
023530,KR7023530009,롯데쇼핑,KOSPI,,184300,1,4400,2.45,176800,188000,176800,9811,1811799200,5213617546500,28288755,STK
001040,KR7001040005,CJ,KOSPI,,178400,1,200,0.11,177400,180300,174100,8319,1476541400,5205176443200,29176998,STK
010060,KR7010060002,OCI홀딩스,KOSPI,,263000,1,6500,2.53,249000,266000,249000,26252,6757601500,4910271016000,18670232,STK
082740,KR7082740002,한화엔진,KOSPI,,58800,2,-2200,-3.61,61500,62100,58300,121207,7241245800,4906691949600,83447142,STK
175330,KR7175330000,JB금융지주,KOSPI,,25550,2,-550,-2.11,26050,26050,25425,13012,333326450,4809879071200,188253584,STK
052690,KR7052690005,한전기술,KOSPI,,121400,2,-2300,-1.86,121000,122200,116500,18168,2183668250,4639908000000,38220000,STK
018880,KR7018880005,한온시스템,KOSPI,,4445,2,-70,-1.55,4415,4520,4380,1140182,5047089128,4561737043640,1026262552,STK
