Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
005930,KR7005930003,삼성전자,KOSPI,,253750,2,-5750,-2.22,249500,254500,249000,8619607,2163119456750,1483493196780000,5846278608,STK,ME005
000660,KR7000660001,SK하이닉스,KOSPI,,1730000,2,-82000,-4.53,1707000,1740000,1695000,2160572,3708922665000,1263751791450000,730492365,STK,ME005
402340,KR7402340004,SK스퀘어,KOSPI,,1028000,2,-61000,-5.6,1034000,1035000,1006000,246396,250800758500,135617869944000,131923998,STK,ME005
009150,KR7009150004,삼성전기,KOSPI,,1344000,2,-56000,-4.0,1355000,1360000,1318000,241122,322872855500,100388327424000,74693696,STK,ME005
373220,KR7373220003,LG에너지솔루션,KOSPI,,355000,2,-5000,-1.39,356500,362000,350500,80099,28354963750,83070000000000,234000000,STK,ME005
005380,KR7005380001,현대차,KOSPI,,371500,2,-11000,-2.88,375000,375000,365500,234635,86524457250,76067510069000,204757766,STK,ME005
207940,KR7207940008,삼성바이오로직스,KOSPI,,1435000,1,20000,1.41,1400000,1436000,1381000,16100,22658338500,66427514685000,46290951,STK,ME005
105560,KR7105560007,KB금융,KOSPI,,178700,1,800,0.45,175700,180000,174700,458734,81475011100,63382698065800,354687734,STK,ME005
032830,KR7032830002,삼성생명,KOSPI,,299500,2,-8000,-2.6,299000,300500,289000,266367,78542267000,59900000000000,200000000,STK,ME005
012450,KR7012450003,한화에어로스페이스,KOSPI,,1128000,1,47000,4.35,1085000,1139000,1074000,78258,86353010500,58163516328000,51563401,STK,ME005
028260,KR7028260008,삼성물산,KOSPI,,356500,2,-10500,-2.86,354000,358500,347000,128876,45484212750,57812742626500,162167581,STK,ME005
034020,KR7034020008,두산에너빌리티,KOSPI,,88800,2,-2000,-2.2,89800,90400,87700,1595189,141254274900,56881829764800,640561146,STK,ME005
055550,KR7055550008,신한지주,KOSPI,,114100,1,1200,1.06,111000,114300,111000,370377,41782210050,53564272269900,469450239,STK,ME005
329180,KR7329180004,HD현대중공업,KOSPI,,480000,1,1000,0.21,476000,482500,469000,135978,64845386500,50381388000000,104961225,STK,ME005
000270,KR7000270009,기아,KOSPI,,124300,2,-2300,-1.82,124700,125000,122000,278061,34239284650,48528335651400,390412998,STK,ME005
006400,KR7006400006,삼성SDI,KOSPI,,543000,2,-2000,-0.37,538000,544000,531000,136943,73509565000,43757942790000,80585530,STK,ME005
068270,KR7068270008,셀트리온,KOSPI,,180200,1,2000,1.12,176500,180400,174600,170360,30174486100,41917615115200,232617176,STK,ME005
034730,KR7034730002,SK,KOSPI,,572500,2,-12500,-2.14,569000,578000,557000,43349,24595256000,41507797467500,72502703,STK,ME005
086790,KR7086790003,하나금융지주,KOSPI,,140100,1,2300,1.67,135000,140600,134900,358519,49411376700,37962884391000,270969910,STK,ME005
012330,KR7012330007,현대모비스,KOSPI,,399500,2,-16000,-3.85,403000,403000,395000,107348,42778009000,35883323707500,89820585,STK,ME005
066570,KR7066570003,LG전자,KOSPI,,199500,3,0,0.0,196000,201000,192600,291311,57257582650,32495485281000,162884638,STK,ME005
035420,KR7035420009,NAVER,KOSPI,,206250,2,-250,-0.12,203000,206500,202000,163241,33230711500,31369463606250,152094369,STK,ME005
010120,KR7010120004,LS ELECTRIC,KOSPI,,203500,2,-1000,-0.49,199800,204000,196800,149002,29852686550,30525000000000,150000000,STK,ME005
000810,KR7000810002,삼성화재,KOSPI,,667000,2,-19000,-2.77,670000,675000,659000,28437,18934862000,29779864491000,44647473,STK,ME005
267260,KR7267260008,HD현대일렉트릭,KOSPI,,746000,2,-1000,-0.13,730000,748000,718000,23948,17550046500,26891162710000,36047135,STK,ME005
316140,KR7316140003,우리금융지주,KOSPI,,36150,1,1050,2.99,35050,36150,34700,1975465,70652441050,26634834035550,736786557,STK,ME005
298040,KR7298040007,효성중공업,KOSPI,,2834000,2,-20000,-0.7,2785000,2845000,2735000,10645,29669936000,26425769032000,9324548,STK,ME005
042660,KR7042660001,한화오션,KOSPI,,85900,1,300,0.35,84800,85900,84100,231360,19726867650,26320910544600,306413394,STK,ME005
005490,KR7005490008,POSCO홀딩스,KOSPI,,325500,2,-8500,-2.54,324000,327500,320500,104737,33870649250,25793117038500,79241527,STK,ME005
009540,KR7009540006,HD한국조선해양,KOSPI,,363500,2,-2000,-0.55,360500,364500,358000,43348,15637767000,25726027666000,70773116,STK,ME005
010130,KR7010130003,고려아연,KOSPI,,1168000,2,-11000,-0.93,1168000,1172000,1152000,6490,7536354000,24379627792000,20872969,STK,ME005
096770,KR7096770003,SK이노베이션,KOSPI,,138600,2,-6200,-4.28,142000,144600,136800,423251,58880919900,23430716416800,169052788,STK,ME005
042700,KR7042700005,한미반도체,KOSPI,,230500,2,-500,-0.22,228000,233000,223500,229204,52179896750,21969462100000,95312200,STK,ME005
000150,KR7000150003,두산,KOSPI,,1274000,2,-82000,-6.05,1307000,1307000,1257000,30958,39455143500,20630945790000,16193835,STK,ME005
015760,KR7015760002,한국전력,KOSPI,,32100,2,-1000,-3.02,32650,32700,31800,823276,26448856000,20607046871700,641964077,STK,ME005
011200,KR7011200003,HMM,KOSPI,,21200,1,350,1.68,20750,21350,20700,419020,8824818625,19996644964000,943237970,STK,ME005
267250,KR7267250009,HD현대,KOSPI,,248000,1,500,0.2,244500,252500,241500,46647,11516455000,19590285080000,78993085,STK,ME005
017670,KR7017670001,SK텔레콤,KOSPI,,89900,2,-1000,-1.1,88600,89900,88000,316628,28217827500,19309625764700,214790053,STK,ME005
010140,KR7010140002,삼성중공업,KOSPI,,21750,1,350,1.64,21100,21900,20850,1413043,30261330950,19140000000000,880000000,STK,ME005
051910,KR7051910008,LG화학,KOSPI,,268500,2,-4500,-1.65,268500,270000,263500,42168,11236619750,18954044095500,70592343,STK,ME005
006800,KR7006800007,미래에셋증권,KOSPI,,33150,2,-300,-0.9,33100,33300,32450,372971,12230676250,18001147840650,543021051,STK,ME005
033780,KR7033780008,KT&G,KOSPI,,172900,1,1100,0.64,170100,173000,169400,66640,11447641550,17948827842400,103810456,STK,ME005
003550,KR7003550001,LG,KOSPI,,114300,1,1800,1.6,111400,115000,109900,92366,10425373850,17281246057200,151192004,STK,ME005
018260,KR7018260000,삼성에스디에스,KOSPI,,220000,2,-2500,-1.12,215500,221500,213500,79696,17338157250,17023116000000,77377800,STK,ME005
010950,KR7010950004,S-Oil,KOSPI,,148200,2,-1800,-1.2,148600,151400,143900,156126,23078209450,16684769774400,112582792,STK,ME005
024110,KR7024110009,기업은행,KOSPI,,20850,3,0,0.0,20650,20900,20450,401680,8314065000,16626329368650,797425869,STK,ME005
003670,KR7003670007,포스코퓨처엠,KOSPI,,182900,2,-2400,-1.3,182100,184300,179300,95749,17369032100,16268263638000,88946220,STK,ME005
086280,KR7086280005,현대글로비스,KOSPI,,208500,3,0,0.0,203000,209500,201500,59038,12137722500,15637500000000,75000000,STK,ME005
035720,KR7035720002,카카오,KOSPI,,34850,1,350,1.01,34000,34850,33850,491483,16834113450,15438546619550,442999903,STK,ME005
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,700000,1,22000,3.24,670000,705000,664000,49829,34184727000,15400000000000,22000000,STK,ME005
000720,KR7000720003,현대건설,KOSPI,,129400,2,-5500,-4.08,133000,133100,127300,319566,41393991850,14409435991000,111355765,STK,ME005
272210,KR7272210006,한화시스템,KOSPI,,73200,1,2300,3.24,70100,74000,69700,264337,19084890150,13828899274800,188919389,STK,ME005
