Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,254500,2,-30500,-10.7,285000,292500,253000,31882652,8455131369000,1487877905736000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,1845000,2,-335000,-15.37,2113000,2142000,1839000,8040043,15653240664220,1314935863425000,712702365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1161000,2,-248000,-17.6,1400000,1400000,1154000,1103883,1349933799292,153203686146000,131958386,STK
009150,KR7009150004,삼성전기,KOSPI,,1289000,2,-295000,-18.62,1564000,1564000,1261000,1321694,1793908910850,96280174144000,74693696,STK
005380,KR7005380001,현대차,KOSPI,,444000,2,-13500,-2.95,456500,482000,440500,874265,399862821250,90912448104000,204757766,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,328500,1,2500,0.77,328000,346000,325500,313372,105007555000,76869000000000,234000000,STK
105560,KR7105560007,KB금융,KOSPI,,186200,1,1800,0.98,186300,194500,184100,2401881,452235476300,66042856070800,354687734,STK
032830,KR7032830002,삼성생명,KOSPI,,326000,2,-14500,-4.26,333000,340500,314500,415904,134938633750,65200000000000,200000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1400000,1,5000,0.36,1400000,1445000,1383000,45614,64391733540,64807331400000,46290951,STK
028260,KR7028260008,삼성물산,KOSPI,,361000,2,-30500,-7.79,388000,394000,357000,572948,211709373216,58542496741000,162167581,STK
000270,KR7000270009,기아,KOSPI,,143500,2,-4000,-2.71,148000,151100,142300,898409,131395116100,56024265213000,390412998,STK
055550,KR7055550008,신한지주,KOSPI,,108600,2,-600,-0.55,110800,113300,107500,1376745,151834383050,51547463604600,474654361,STK
329180,KR7329180004,HD현대중공업,KOSPI,,487500,2,-16500,-3.27,508000,518000,484500,278839,137590122500,51168597187500,104961225,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,936000,2,-31000,-3.21,991000,1008000,926000,179138,172042725000,48263343336000,51563401,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,73200,2,-4900,-6.27,78600,79700,72300,2881964,217200214200,46889075887200,640561146,STK
012330,KR7012330007,현대모비스,KOSPI,,487500,2,-500,-0.1,488000,522000,480500,351687,174582257750,44232134212500,90732583,STK
034730,KR7034730002,SK,KOSPI,,583000,2,-74000,-11.26,656000,656000,581000,236349,142193003000,42269075849000,72502703,STK
068270,KR7068270008,셀트리온,KOSPI,,175100,2,-100,-0.06,175300,180800,173900,646548,114583737450,40720153920600,232553706,STK
086790,KR7086790003,하나금융지주,KOSPI,,132600,1,4100,3.19,130100,137700,130000,1329883,177547628300,36381163384800,274367748,STK
006400,KR7006400006,삼성SDI,KOSPI,,440000,1,6000,1.38,443000,481500,432000,849490,388339353500,35457633200000,80585530,STK
066570,KR7066570003,LG전자,KOSPI,,185600,1,3200,1.75,185500,208500,183800,2664002,515006935250,30231388812800,162884638,STK
035420,KR7035420009,NAVER,KOSPI,,188000,2,-3300,-1.73,191100,195400,186400,757031,143921765000,29505517496000,156944242,STK
000810,KR7000810002,삼성화재,KOSPI,,639000,2,-9000,-1.39,649000,662000,629000,96948,62241959500,28529735247000,44647473,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,788000,2,-63000,-7.4,851000,855000,779000,172717,138664219000,28405142380000,36047135,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,184500,2,-18000,-8.89,207500,209500,179900,1015219,193832482150,27675000000000,150000000,STK
298040,KR7298040007,효성중공업,KOSPI,,2666000,2,-258000,-8.82,2971000,2971000,2610000,39106,106771540000,24859244968000,9324548,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,308000,2,-5500,-1.75,313500,324000,306500,337638,106121088250,24406390316000,79241527,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,341500,1,1000,0.29,343500,351500,336500,216625,74400141500,24169019114000,70773116,STK
042660,KR7042660001,한화오션,KOSPI,,78800,2,-2500,-3.08,83000,85500,78100,1940961,157410663150,24145375447200,306413394,STK
316140,KR7316140003,우리금융지주,KOSPI,,31200,2,-250,-0.79,31550,32900,30950,2413796,76699963875,22716398078400,728089682,STK
006800,KR7006800007,미래에셋증권,KOSPI,,40000,2,-2200,-5.21,41850,43600,39300,2022242,82655277600,22382675200000,559566880,STK
015760,KR7015760002,한국전력,KOSPI,,34250,2,-1950,-5.39,36200,36450,34100,1778803,62463562250,21987269637250,641964077,STK
