Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,249000,2,-21000,-7.78,266000,266500,247000,18515862,4710431778000,1455723373392000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,1774000,2,-145000,-7.56,1894000,1894000,1752000,3404973,6174521628000,1264333995510000,712702365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1120000,2,-101000,-8.27,1202000,1203000,1110000,575653,652355700000,147793392320000,131958386,STK
009150,KR7009150004,삼성전기,KOSPI,,1332000,2,-116000,-8.01,1450000,1450000,1318000,443832,606490307500,99492003072000,74693696,STK
005380,KR7005380001,현대차,KOSPI,,399500,2,-32500,-7.52,418500,418500,390000,699604,280220511750,81800727517000,204757766,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,330500,2,-17500,-5.03,337500,342000,326000,149589,49639186250,77337000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1528000,1,149000,10.8,1380000,1537000,1380000,161796,241846088500,70732573128000,46290951,STK
032830,KR7032830002,삼성생명,KOSPI,,314000,2,-15500,-4.7,325500,325500,307000,154701,48750611500,62800000000000,200000000,STK
105560,KR7105560007,KB금융,KOSPI,,169500,2,-6800,-3.86,174900,176400,165600,814022,136903841050,60119570913000,354687734,STK
028260,KR7028260008,삼성물산,KOSPI,,341000,2,-19000,-5.28,352000,356000,334500,224558,77174086000,55299145121000,162167581,STK
000270,KR7000270009,기아,KOSPI,,140500,2,-9300,-6.21,146300,146800,136300,634146,88874114150,54853026219000,390412998,STK
329180,KR7329180004,HD현대중공업,KOSPI,,488000,2,-10000,-2.01,491500,507000,484500,145492,71934919250,51221077800000,104961225,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,986000,1,28000,2.92,981000,1050000,966000,187772,188458335500,50841513386000,51563401,STK
055550,KR7055550008,신한지주,KOSPI,,103250,2,-550,-0.53,102900,107900,101900,745101,77477610250,49008062773250,474654361,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,72100,2,-1100,-1.5,72500,74000,71200,1612918,117176265850,46184458626600,640561146,STK
034730,KR7034730002,SK,KOSPI,,629000,2,-26000,-3.97,655000,673000,625000,149873,96181578000,45604200187000,72502703,STK
012330,KR7012330007,현대모비스,KOSPI,,485000,2,-39000,-7.44,509000,510000,474000,251406,123360160000,44005302755000,90732583,STK
068270,KR7068270008,셀트리온,KOSPI,,177700,1,5500,3.19,170800,179400,170800,614921,108656110350,41324793556200,232553706,STK
086790,KR7086790003,하나금융지주,KOSPI,,132500,1,2000,1.53,129200,133800,129200,875485,115614374600,36353726610000,274367748,STK
006400,KR7006400006,삼성SDI,KOSPI,,433500,2,-33500,-7.17,454000,454500,431000,280110,124108937250,34933827255000,80585530,STK
035420,KR7035420009,NAVER,KOSPI,,207000,2,-13000,-5.91,215000,216500,202000,711046,147394469000,32487458094000,156944242,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,203000,2,-20500,-9.17,218500,226000,200000,916863,194269152000,30450000000000,150000000,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,812000,2,-57000,-6.56,861000,870000,791000,84440,69531490000,29270273620000,36047135,STK
000810,KR7000810002,삼성화재,KOSPI,,636000,2,-2000,-0.31,622000,641000,621000,44900,28373603500,28395792828000,44647473,STK
066570,KR7066570003,LG전자,KOSPI,,170400,2,-17100,-9.12,182300,182400,168100,952501,165125878200,27755542315200,162884638,STK
042660,KR7042660001,한화오션,KOSPI,,87900,2,-2000,-2.22,90000,91600,86600,1307892,116453470400,26933737332600,306413394,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,374750,2,-6250,-1.64,373500,389000,367000,105006,39681244500,26522225221000,70773116,STK
298040,KR7298040007,효성중공업,KOSPI,,2679000,2,-187000,-6.52,2866000,2886000,2641000,32995,90143599500,24980464092000,9324548,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,312750,2,-10750,-3.32,316500,319500,308500,167503,52676160500,24782787569250,79241527,STK
015760,KR7015760002,한국전력,KOSPI,,35550,2,-50,-0.14,34900,36500,34900,1067905,38049935075,22821822937350,641964077,STK
