Code,Name,Total_Score,Sell_Score,Score_Momentum,Score_Supply,Score_Volume,Score_MA,Score_Candle,Close,ChagesRatio,Amount,Sector,Sector_Mult,Vol_Penalty,Market_Penalty,Market_Condition
003490,대한항공,68.9,0.0,14.6,30.0,17.0,13.0,15.0,31050.0,7.63,220430480600,항공운송,1.0,0.9,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
058470,리노공업,65.0,0.0,15.5,30.0,17.0,10.0,12.0,74700.0,7.02,133281602400,전기·전자,1.0,0.9,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
066570,LG전자,63.4,0.0,14.9,30.0,14.7,15.0,15.0,213500.0,5.43,342912570000,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
071090,하이스틸,61.8,0.0,15.4,30.0,14.0,13.0,8.0,3500.0,7.03,22183600650,금속,1.0,0.9,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
356860,티엘비,59.5,0.0,15.0,30.0,17.0,13.0,12.0,44150.0,15.88,108820611500,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
353200,대덕전자,58.1,0.0,15.0,30.0,17.0,15.0,8.0,111500.0,9.42,318789744000,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
009150,삼성전기,56.9,0.0,20.0,30.0,11.1,12.0,10.0,1464000.0,2.45,1320600390000,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
067310,하나마이크론,56.8,25.0,17.0,30.0,14.0,7.0,15.0,45500.0,1.56,172245895250,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
007810,코리아써키트,55.0,25.0,15.0,28.4,17.0,8.0,12.0,65500.0,25.24,188447823000,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
001440,대한전선,53.9,0.0,15.8,30.0,14.0,11.0,8.0,31400.0,5.72,285881378550,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
222800,심텍,52.7,15.0,15.0,30.0,17.0,7.0,8.0,145800.0,11.55,271221470000,전기·전자,1.0,0.8,0.855,약세 (1d:0.4% 3d:1.2% 5d:-3.1%) | 주의(σ=1.9%)
